dt,odd,res
2024-11-2 2:00,2.25,L
2024-11-2 2:30,2.3,W
2024-11-2 4:00,2.1,W
2024-11-2 8:30,2.45,W
2024-11-2 11:30,2.63,W
2024-11-2 15:00,2.25,W
2024-11-2 15:00,2.35,L
2024-11-2 16:00,2,L
2024-11-2 16:00,2.3,w
2024-11-2 16:15,2.2,w
2024-11-2 17:00,2.3,L
2024-11-2 17:00,2.1,W
2024-11-2 17:30,2.2,L
2024-11-2 20:00,2.05,W
2024-11-2 21:00,2.2,W
2024-11-2 21:15,2.1,W
2024-11-2 22:00,2,L
2024-11-3 3:00,2.05,L
2024-11-3 12:30,2.25,L
2024-11-3 14:00,2.5,L
2024-11-3 15:00,2.1,W
2024-11-3 15:00,2.1,W
2024-11-3 15:30,2.1,L
2024-11-3 17:30,2.15,W
2024-11-3 20:45,2.1,W
2024-11-3 21:30,2.15,W
2024-11-3 21:30,2.4,W
